영업일자,영업장명_메뉴명,매출수량,영업장명,메뉴명,요일,월,주말여부
2023-01-01,포레스트릿_아메리카노(ICE),107,포레스트릿,아메리카노(ICE),6,1,1
2023-01-01,느티나무 셀프BBQ_쌈야채세트,0,느티나무 셀프BBQ,쌈야채세트,6,1,1
2023-01-01,카페테리아_구슬아이스크림,73,카페테리아,구슬아이스크림,6,1,1
2023-01-01,"느티나무 셀프BBQ_대여료 30,000원",9,느티나무 셀프BBQ,"대여료 30,000원",6,1,1
2023-01-01,카페테리아_짜장밥,17,카페테리아,짜장밥,6,1,1
2023-01-01,담하_스프라이트,2,담하,스프라이트,6,1,1
2023-01-01,포레스트릿_스프라이트,82,포레스트릿,스프라이트,6,1,1
2023-01-01,담하_(단체) 한우 우거지 국밥,0,담하,(단체) 한우 우거지 국밥,6,1,1
2023-01-01,연회장_모둠 돈육구이(3인),11,연회장,모둠 돈육구이(3인),6,1,1
2023-01-01,라그로타_빵 추가 (1인),13,라그로타,빵 추가 (1인),6,1,1
2023-01-01,포레스트릿_치즈 핫도그,228,포레스트릿,치즈 핫도그,6,1,1
2023-01-01,카페테리아_돼지고기 김치찌개,80,카페테리아,돼지고기 김치찌개,6,1,1
2023-01-01,라그로타_까르보나라,0,라그로타,까르보나라,6,1,1
2023-01-01,포레스트릿_생수,207,포레스트릿,생수,6,1,1
2023-01-01,미라시아_칠리 치즈 프라이,0,미라시아,칠리 치즈 프라이,6,1,1
2023-01-01,포레스트릿_카페라떼(HOT),111,포레스트릿,카페라떼(HOT),6,1,1
2023-01-01,카페테리아_복숭아 아이스티,46,카페테리아,복숭아 아이스티,6,1,1
2023-01-01,담하_(후식) 된장찌개,5,담하,(후식) 된장찌개,6,1,1
2023-01-01,라그로타_아메리카노,3,라그로타,아메리카노,6,1,1
2023-01-01,카페테리아_새우 볶음밥,50,카페테리아,새우 볶음밥,6,1,1
2023-01-01,담하_생목살 김치찌개,39,담하,생목살 김치찌개,6,1,1
2023-01-01,연회장_로제 치즈떡볶이,6,연회장,로제 치즈떡볶이,6,1,1
2023-01-01,느티나무 셀프BBQ_카스 병(단체),0,느티나무 셀프BBQ,카스 병(단체),6,1,1
2023-01-01,카페테리아_공깃밥(추가),78,카페테리아,공깃밥(추가),6,1,1
2023-01-01,연회장_Conference L3,0,연회장,Conference L3,6,1,1
2023-01-01,화담숲주막_단호박 식혜 ,0,화담숲주막,단호박 식혜 ,6,1,1
2023-01-01,미라시아_브런치(대인) 주말,71,미라시아,브런치(대인) 주말,6,1,1
2023-01-01,담하_테라,1,담하,테라,6,1,1
2023-01-01,미라시아_미라시아 브런치 (패키지),100,미라시아,미라시아 브런치 (패키지),6,1,1
2023-01-01,라그로타_해산물 토마토 스파게티,3,라그로타,해산물 토마토 스파게티,6,1,1
2023-01-01,화담숲주막_콜라,0,화담숲주막,콜라,6,1,1
2023-01-01,담하_한우 우거지 국밥,14,담하,한우 우거지 국밥,6,1,1
2023-01-01,카페테리아_어린이 돈까스,37,카페테리아,어린이 돈까스,6,1,1
2023-01-01,담하_한우 차돌박이 된장찌개,27,담하,한우 차돌박이 된장찌개,6,1,1
2023-01-01,화담숲카페_카페라떼 ICE,0,화담숲카페,카페라떼 ICE,6,1,1
2023-01-01,카페테리아_아메리카노(ICE),76,카페테리아,아메리카노(ICE),6,1,1
2023-01-01,라그로타_한우 (200g),0,라그로타,한우 (200g),6,1,1
2023-01-01,카페테리아_치즈돈까스,103,카페테리아,치즈돈까스,6,1,1
2023-01-01,화담숲카페_아메리카노 HOT,0,화담숲카페,아메리카노 HOT,6,1,1
2023-01-01,미라시아_브런치 4인 패키지 ,1,미라시아,브런치 4인 패키지 ,6,1,1
2023-01-01,담하_한우 떡갈비 정식,34,담하,한우 떡갈비 정식,6,1,1
2023-01-01,라그로타_G-Charge(3),0,라그로타,G-Charge(3),6,1,1
2023-01-01,카페테리아_약 고추장 돌솥비빔밥,67,카페테리아,약 고추장 돌솥비빔밥,6,1,1
2023-01-01,미라시아_(화덕) 불고기 페퍼로니 반반피자,4,미라시아,(화덕) 불고기 페퍼로니 반반피자,6,1,1
2023-01-01,연회장_Cass Beer,0,연회장,Cass Beer,6,1,1
2023-01-01,미라시아_브런치 2인 패키지 ,3,미라시아,브런치 2인 패키지 ,6,1,1
2023-01-01,카페테리아_짬뽕밥,24,카페테리아,짬뽕밥,6,1,1
2023-01-01,화담숲카페_아메리카노 ICE,0,화담숲카페,아메리카노 ICE,6,1,1
2023-01-01,미라시아_보일링 랍스타 플래터(덜매운맛),0,미라시아,보일링 랍스타 플래터(덜매운맛),6,1,1
2023-01-01,카페테리아_단체식 13000(신),0,카페테리아,단체식 13000(신),6,1,1
2023-01-01,담하_담하 한우 불고기,61,담하,담하 한우 불고기,6,1,1
2023-01-01,담하_더덕 한우 지짐,0,담하,더덕 한우 지짐,6,1,1
2023-01-01,미라시아_애플망고 에이드,5,미라시아,애플망고 에이드,6,1,1
2023-01-01,담하_한우 미역국 정식,12,담하,한우 미역국 정식,6,1,1
2023-01-01,담하_콜라,6,담하,콜라,6,1,1
2023-01-01,라그로타_해산물 토마토 리조또,2,라그로타,해산물 토마토 리조또,6,1,1
2023-01-01,라그로타_해산물 토마토 스튜 파스타,0,라그로타,해산물 토마토 스튜 파스타,6,1,1
2023-01-01,담하_황태해장국,10,담하,황태해장국,6,1,1
2023-01-01,카페테리아_아메리카노(HOT),140,카페테리아,아메리카노(HOT),6,1,1
2023-01-01,미라시아_BBQ Platter,15,미라시아,BBQ Platter,6,1,1
2023-01-01,담하_들깨 양지탕,7,담하,들깨 양지탕,6,1,1
2023-01-01,담하_공깃밥,68,담하,공깃밥,6,1,1
2023-01-01,느티나무 셀프BBQ_일회용 소주컵,0,느티나무 셀프BBQ,일회용 소주컵,6,1,1
2023-01-01,카페테리아_짜장면,77,카페테리아,짜장면,6,1,1
2023-01-01,카페테리아_오픈푸드,4,카페테리아,오픈푸드,6,1,1
2023-01-01,카페테리아_짬뽕,40,카페테리아,짬뽕,6,1,1
2023-01-01,미라시아_브런치(어린이),20,미라시아,브런치(어린이),6,1,1
2023-01-01,미라시아_브런치(대인) 주중,0,미라시아,브런치(대인) 주중,6,1,1
2023-01-01,카페테리아_카페라떼(HOT),99,카페테리아,카페라떼(HOT),6,1,1
2023-01-01,미라시아_쉬림프 투움바 파스타,0,미라시아,쉬림프 투움바 파스타,6,1,1
2023-01-02,담하_한우 우거지 국밥,14,담하,한우 우거지 국밥,0,1,0
2023-01-02,포레스트릿_스프라이트,46,포레스트릿,스프라이트,0,1,0
2023-01-02,화담숲카페_현미뻥스크림,0,화담숲카페,현미뻥스크림,0,1,0
2023-01-02,포레스트릿_생수,141,포레스트릿,생수,0,1,0
2023-01-02,카페테리아_공깃밥(추가),56,카페테리아,공깃밥(추가),0,1,0
2023-01-02,카페테리아_짬뽕,42,카페테리아,짬뽕,0,1,0
2023-01-02,카페테리아_돼지고기 김치찌개,75,카페테리아,돼지고기 김치찌개,0,1,0
2023-01-02,라그로타_빵 추가 (1인),17,라그로타,빵 추가 (1인),0,1,0
2023-01-02,카페테리아_구슬아이스크림,68,카페테리아,구슬아이스크림,0,1,0
2023-01-02,카페테리아_짜장면,76,카페테리아,짜장면,0,1,0
2023-01-02,담하_한우 떡갈비 정식,24,담하,한우 떡갈비 정식,0,1,0
2023-01-02,담하_한우 미역국 정식,4,담하,한우 미역국 정식,0,1,0
2023-01-02,카페테리아_어린이 돈까스,31,카페테리아,어린이 돈까스,0,1,0
2023-01-02,담하_황태해장국,14,담하,황태해장국,0,1,0
2023-01-02,라그로타_미션 서드 카베르네 쉬라,2,라그로타,미션 서드 카베르네 쉬라,0,1,0
2023-01-02,카페테리아_카페라떼(ICE),14,카페테리아,카페라떼(ICE),0,1,0
2023-01-02,담하_콜라,3,담하,콜라,0,1,0
2023-01-02,카페테리아_수제 등심 돈까스,140,카페테리아,수제 등심 돈까스,0,1,0
2023-01-02,카페테리아_아메리카노(HOT),108,카페테리아,아메리카노(HOT),0,1,0
2023-01-02,포레스트릿_꼬치어묵,405,포레스트릿,꼬치어묵,0,1,0
2023-01-02,라그로타_스프라이트,2,라그로타,스프라이트,0,1,0
2023-01-02,라그로타_AUS (200g),0,라그로타,AUS (200g),0,1,0
2023-01-02,담하_카스,3,담하,카스,0,1,0
2023-01-02,카페테리아_카페라떼(HOT),83,카페테리아,카페라떼(HOT),0,1,0
2023-01-02,라그로타_G-Charge(3),1,라그로타,G-Charge(3),0,1,0
2023-01-02,담하_더덕 한우 지짐,0,담하,더덕 한우 지짐,0,1,0
2023-01-02,"미라시아_(단체)브런치주중 36,000",0,미라시아,"(단체)브런치주중 36,000",0,1,0
2023-01-02,느티나무 셀프BBQ_신라면,0,느티나무 셀프BBQ,신라면,0,1,0
2023-01-02,카페테리아_샷 추가,4,카페테리아,샷 추가,0,1,0
2023-01-02,포레스트릿_떡볶이,226,포레스트릿,떡볶이,0,1,0
2023-01-02,카페테리아_아메리카노(ICE),53,카페테리아,아메리카노(ICE),0,1,0
2023-01-02,카페테리아_새우튀김 우동,94,카페테리아,새우튀김 우동,0,1,0
2023-01-02,연회장_공깃밥,0,연회장,공깃밥,0,1,0
2023-01-02,카페테리아_짬뽕밥,22,카페테리아,짬뽕밥,0,1,0
2023-01-02,카페테리아_약 고추장 돌솥비빔밥,74,카페테리아,약 고추장 돌솥비빔밥,0,1,0
2023-01-02,포레스트릿_복숭아 아이스티,68,포레스트릿,복숭아 아이스티,0,1,0
2023-01-02,카페테리아_새우 볶음밥,45,카페테리아,새우 볶음밥,0,1,0
2023-01-02,"느티나무 셀프BBQ_대여료 90,000원",1,느티나무 셀프BBQ,"대여료 90,000원",0,1,0
2023-01-02,카페테리아_복숭아 아이스티,50,카페테리아,복숭아 아이스티,0,1,0
2023-01-02,담하_참이슬,2,담하,참이슬,0,1,0
2023-01-02,라그로타_Gls.미션 서드,3,라그로타,Gls.미션 서드,0,1,0
2023-01-02,담하_(단체) 한우 우거지 국밥,0,담하,(단체) 한우 우거지 국밥,0,1,0
2023-01-02,담하_한우 차돌박이 된장찌개,20,담하,한우 차돌박이 된장찌개,0,1,0
2023-01-02,느티나무 셀프BBQ_허브솔트,0,느티나무 셀프BBQ,허브솔트,0,1,0
2023-01-02,카페테리아_치즈돈까스,79,카페테리아,치즈돈까스,0,1,0
2023-01-02,담하_테라,2,담하,테라,0,1,0
2023-01-02,화담숲주막_해물파전,0,화담숲주막,해물파전,0,1,0
2023-01-02,담하_느린마을 막걸리,3,담하,느린마을 막걸리,0,1,0
2023-01-02,담하_스프라이트,1,담하,스프라이트,0,1,0
2023-01-02,담하_은이버섯 갈비탕,12,담하,은이버섯 갈비탕,0,1,0
2023-01-02,담하_공깃밥,63,담하,공깃밥,0,1,0
2023-01-02,담하_들깨 양지탕,6,담하,들깨 양지탕,0,1,0
2023-01-02,미라시아_콥 샐러드,0,미라시아,콥 샐러드,0,1,0
2023-01-02,라그로타_해산물 토마토 리조또,1,라그로타,해산물 토마토 리조또,0,1,0
2023-01-02,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),0,느티나무 셀프BBQ,잔디그늘집 대여료 (6인석),0,1,0
2023-01-02,미라시아_애플망고 에이드,5,미라시아,애플망고 에이드,0,1,0
2023-01-02,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),0,느티나무 셀프BBQ,잔디그늘집 대여료 (12인석),0,1,0
2023-01-02,미라시아_브런치(어린이),8,미라시아,브런치(어린이),0,1,0
2023-01-02,라그로타_하이네켄(생),2,라그로타,하이네켄(생),0,1,0
2023-01-02,라그로타_알리오 에 올리오 ,0,라그로타,알리오 에 올리오 ,0,1,0
2023-01-02,느티나무 셀프BBQ_쌈장,0,느티나무 셀프BBQ,쌈장,0,1,0
2023-01-02,라그로타_Open Food,0,라그로타,Open Food,0,1,0
2023-01-02,느티나무 셀프BBQ_콜라 (단체),0,느티나무 셀프BBQ,콜라 (단체),0,1,0
2023-01-02,느티나무 셀프BBQ_잔디그늘집 의자 추가,0,느티나무 셀프BBQ,잔디그늘집 의자 추가,0,1,0
2023-01-02,라그로타_콜라,4,라그로타,콜라,0,1,0
2023-01-02,포레스트릿_페스츄리 소시지,61,포레스트릿,페스츄리 소시지,0,1,0
2023-01-02,미라시아_얼그레이 하이볼,3,미라시아,얼그레이 하이볼,0,1,0
2023-01-02,카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,0,카페테리아,한상 삼겹구이 정식(2인) 소요시간 약 15~20분,0,1,0
2023-01-02,라그로타_그릴드 비프 샐러드,0,라그로타,그릴드 비프 샐러드,0,1,0
2023-01-02,미라시아_브런치(대인) 주중,31,미라시아,브런치(대인) 주중,0,1,0
2023-01-02,미라시아_BBQ Platter,14,미라시아,BBQ Platter,0,1,0
2023-01-02,미라시아_코카콜라,0,미라시아,코카콜라,0,1,0
2023-01-02,미라시아_글라스와인 (레드),2,미라시아,글라스와인 (레드),0,1,0
2023-01-02,미라시아_레인보우칵테일(알코올),1,미라시아,레인보우칵테일(알코올),0,1,0
2023-01-02,느티나무 셀프BBQ_일회용 소주컵,0,느티나무 셀프BBQ,일회용 소주컵,0,1,0
2023-01-02,담하_담하 한우 불고기,50,담하,담하 한우 불고기,0,1,0
2023-01-02,미라시아_미라시아 브런치 (패키지),68,미라시아,미라시아 브런치 (패키지),0,1,0
2023-01-02,미라시아_(화덕) 불고기 페퍼로니 반반피자,5,미라시아,(화덕) 불고기 페퍼로니 반반피자,0,1,0
2023-01-02,미라시아_브런치 2인 패키지 ,29,미라시아,브런치 2인 패키지 ,0,1,0
2023-01-02,화담숲주막_찹쌀식혜,0,화담숲주막,찹쌀식혜,0,1,0
2023-01-02,담하_룸 이용료,0,담하,룸 이용료,0,1,0
2023-01-02,화담숲카페_아메리카노 HOT,0,화담숲카페,아메리카노 HOT,0,1,0
2023-01-02,미라시아_브런치 4인 패키지 ,2,미라시아,브런치 4인 패키지 ,0,1,0
2023-01-02,느티나무 셀프BBQ_햇반,0,느티나무 셀프BBQ,햇반,0,1,0
2023-01-02,연회장_Conference L1,0,연회장,Conference L1,0,1,0
2023-01-02,라그로타_해산물 토마토 스파게티,6,라그로타,해산물 토마토 스파게티,0,1,0
2023-01-02,카페테리아_단체식 13000(신),0,카페테리아,단체식 13000(신),0,1,0
2023-01-02,담하_메밀면 사리,7,담하,메밀면 사리,0,1,0
2023-01-02,"느티나무 셀프BBQ_대여료 60,000원",4,느티나무 셀프BBQ,"대여료 60,000원",0,1,0
2023-01-02,미라시아_스텔라(무제한),0,미라시아,스텔라(무제한),0,1,0
2023-01-02,카페테리아_짜장밥,9,카페테리아,짜장밥,0,1,0
2023-01-02,느티나무 셀프BBQ_1인 수저세트,0,느티나무 셀프BBQ,1인 수저세트,0,1,0
2023-01-02,포레스트릿_치즈 핫도그,133,포레스트릿,치즈 핫도그,0,1,0
2023-01-02,느티나무 셀프BBQ_일회용 종이컵,0,느티나무 셀프BBQ,일회용 종이컵,0,1,0
2023-01-02,포레스트릿_카페라떼(HOT),63,포레스트릿,카페라떼(HOT),0,1,0
2023-01-02,담하_(후식) 된장찌개,8,담하,(후식) 된장찌개,0,1,0
2023-01-02,연회장_모둠 돈육구이(3인),6,연회장,모둠 돈육구이(3인),0,1,0
2023-01-02,연회장_로제 치즈떡볶이,1,연회장,로제 치즈떡볶이,0,1,0
2023-01-02,담하_생목살 김치찌개,41,담하,생목살 김치찌개,0,1,0
2023-01-02,라그로타_아메리카노,3,라그로타,아메리카노,0,1,0
2023-01-02,"느티나무 셀프BBQ_대여료 30,000원",2,느티나무 셀프BBQ,"대여료 30,000원",0,1,0
2023-01-02,연회장_돈목살 김치찌개 (밥포함),2,연회장,돈목살 김치찌개 (밥포함),0,1,0
2023-01-02,라그로타_자몽리치에이드,2,라그로타,자몽리치에이드,0,1,0
2023-01-02,포레스트릿_코카콜라,108,포레스트릿,코카콜라,0,1,0
2023-01-02,포레스트릿_카페라떼(ICE),5,포레스트릿,카페라떼(ICE),0,1,0
2023-01-02,연회장_매콤 무뼈닭발&계란찜,2,연회장,매콤 무뼈닭발&계란찜,0,1,0
2023-01-02,연회장_골뱅이무침,9,연회장,골뱅이무침,0,1,0
2023-01-02,포레스트릿_아메리카노(HOT),107,포레스트릿,아메리카노(HOT),0,1,0
2023-01-02,포레스트릿_아메리카노(ICE),60,포레스트릿,아메리카노(ICE),0,1,0
2023-01-02,연회장_야채추가,1,연회장,야채추가,0,1,0
2023-01-02,연회장_주먹밥 (2ea),1,연회장,주먹밥 (2ea),0,1,0
2023-01-03,라그로타_해산물 토마토 스파게티,4,라그로타,해산물 토마토 스파게티,1,1,0
2023-01-03,담하_한우 차돌박이 된장찌개,18,담하,한우 차돌박이 된장찌개,1,1,0
2023-01-03,담하_느린마을 막걸리,2,담하,느린마을 막걸리,1,1,0
2023-01-03,담하_봉평메밀 물냉면,0,담하,봉평메밀 물냉면,1,1,0
2023-01-03,담하_한우 미역국 정식,1,담하,한우 미역국 정식,1,1,0
2023-01-03,미라시아_브런치 4인 패키지 ,4,미라시아,브런치 4인 패키지 ,1,1,0
2023-01-03,카페테리아_짜장면,69,카페테리아,짜장면,1,1,0
2023-01-03,라그로타_빵 추가 (1인),5,라그로타,빵 추가 (1인),1,1,0
2023-01-03,라그로타_하이네켄(생),0,라그로타,하이네켄(생),1,1,0
2023-01-03,카페테리아_구슬아이스크림,40,카페테리아,구슬아이스크림,1,1,0
2023-01-03,화담숲주막_해물파전,0,화담숲주막,해물파전,1,1,0
2023-01-03,카페테리아_어린이 돈까스,30,카페테리아,어린이 돈까스,1,1,0
2023-01-03,연회장_모둠 돈육구이(3인),6,연회장,모둠 돈육구이(3인),1,1,0
2023-01-03,"미라시아_(단체)브런치주중 36,000",5,미라시아,"(단체)브런치주중 36,000",1,1,0
2023-01-03,미라시아_브런치 2인 패키지 ,15,미라시아,브런치 2인 패키지 ,1,1,0
2023-01-03,"느티나무 셀프BBQ_대여료 30,000원",2,느티나무 셀프BBQ,"대여료 30,000원",1,1,0
2023-01-03,연회장_매콤 무뼈닭발&계란찜,4,연회장,매콤 무뼈닭발&계란찜,1,1,0
2023-01-03,미라시아_(화덕) 불고기 페퍼로니 반반피자,5,미라시아,(화덕) 불고기 페퍼로니 반반피자,1,1,0
2023-01-03,미라시아_미라시아 브런치 (패키지),40,미라시아,미라시아 브런치 (패키지),1,1,0
2023-01-03,카페테리아_공깃밥(추가),67,카페테리아,공깃밥(추가),1,1,0
2023-01-03,미라시아_콥 샐러드,0,미라시아,콥 샐러드,1,1,0
2023-01-03,카페테리아_오픈푸드,158,카페테리아,오픈푸드,1,1,0
2023-01-03,느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),0,느티나무 셀프BBQ,잔디그늘집 대여료 (6인석),1,1,0
2023-01-03,미라시아_레인보우칵테일(알코올),1,미라시아,레인보우칵테일(알코올),1,1,0
2023-01-03,카페테리아_약 고추장 돌솥비빔밥,65,카페테리아,약 고추장 돌솥비빔밥,1,1,0
2023-01-03,연회장_야채추가,0,연회장,야채추가,1,1,0
2023-01-03,"느티나무 셀프BBQ_대여료 60,000원",3,느티나무 셀프BBQ,"대여료 60,000원",1,1,0
2023-01-03,카페테리아_돼지고기 김치찌개,55,카페테리아,돼지고기 김치찌개,1,1,0
2023-01-03,카페테리아_새우 볶음밥,47,카페테리아,새우 볶음밥,1,1,0
2023-01-03,연회장_Conference L1,1,연회장,Conference L1,1,1,0
2023-01-03,라그로타_콜라,1,라그로타,콜라,1,1,0
2023-01-03,느티나무 셀프BBQ_콜라 (단체),13,느티나무 셀프BBQ,콜라 (단체),1,1,0
2023-01-03,라그로타_Gls.Sileni,2,라그로타,Gls.Sileni,1,1,0
2023-01-03,라그로타_Open Food,0,라그로타,Open Food,1,1,0
2023-01-03,라그로타_자몽리치에이드,2,라그로타,자몽리치에이드,1,1,0
2023-01-03,연회장_돈목살 김치찌개 (밥포함),0,연회장,돈목살 김치찌개 (밥포함),1,1,0
2023-01-03,연회장_Convention Hall,1,연회장,Convention Hall,1,1,0
2023-01-03,담하_(단체) 한우 우거지 국밥,0,담하,(단체) 한우 우거지 국밥,1,1,0
2023-01-03,라그로타_카스,3,라그로타,카스,1,1,0
2023-01-03,라그로타_Gls.미션 서드,2,라그로타,Gls.미션 서드,1,1,0
2023-01-03,카페테리아_새우튀김 우동,82,카페테리아,새우튀김 우동,1,1,0
2023-01-03,연회장_골뱅이무침,4,연회장,골뱅이무침,1,1,0
2023-01-03,카페테리아_샷 추가,3,카페테리아,샷 추가,1,1,0
2023-01-03,미라시아_오븐구이 윙과 킬바사소세지,1,미라시아,오븐구이 윙과 킬바사소세지,1,1,0
2023-01-03,연회장_주먹밥 (2ea),2,연회장,주먹밥 (2ea),1,1,0
2023-01-03,미라시아_얼그레이 하이볼,4,미라시아,얼그레이 하이볼,1,1,0
2023-01-03,담하_(후식) 된장찌개,3,담하,(후식) 된장찌개,1,1,0
2023-01-03,느티나무 셀프BBQ_카스 병(단체),15,느티나무 셀프BBQ,카스 병(단체),1,1,0
2023-01-03,라그로타_제로콜라,2,라그로타,제로콜라,1,1,0
2023-01-03,라그로타_버섯 크림 리조또,0,라그로타,버섯 크림 리조또,1,1,0
2023-01-03,미라시아_브런치(어린이),22,미라시아,브런치(어린이),1,1,0
2023-01-03,카페테리아_아메리카노(HOT),102,카페테리아,아메리카노(HOT),1,1,0
2023-01-03,연회장_로제 치즈떡볶이,1,연회장,로제 치즈떡볶이,1,1,0
2023-01-03,라그로타_미션 서드 카베르네 쉬라,2,라그로타,미션 서드 카베르네 쉬라,1,1,0
2023-01-03,라그로타_해산물 토마토 리조또,2,라그로타,해산물 토마토 리조또,1,1,0
2023-01-03,카페테리아_복숭아 아이스티,34,카페테리아,복숭아 아이스티,1,1,0
2023-01-03,미라시아_칠리 치즈 프라이,0,미라시아,칠리 치즈 프라이,1,1,0
2023-01-03,담하_황태해장국,7,담하,황태해장국,1,1,0
2023-01-03,미라시아_애플망고 에이드,2,미라시아,애플망고 에이드,1,1,0
2023-01-03,카페테리아_수제 등심 돈까스,119,카페테리아,수제 등심 돈까스,1,1,0
2023-01-03,라그로타_아메리카노,2,라그로타,아메리카노,1,1,0
2023-01-03,카페테리아_아메리카노(ICE),48,카페테리아,아메리카노(ICE),1,1,0
2023-01-03,미라시아_브런치(대인) 주중,33,미라시아,브런치(대인) 주중,1,1,0
2023-01-03,담하_한우 우거지 국밥,1,담하,한우 우거지 국밥,1,1,0
2023-01-03,미라시아_BBQ Platter,9,미라시아,BBQ Platter,1,1,0
2023-01-03,포레스트릿_꼬치어묵,357,포레스트릿,꼬치어묵,1,1,0
2023-01-03,담하_콜라,1,담하,콜라,1,1,0
2023-01-03,담하_스프라이트,3,담하,스프라이트,1,1,0
2023-01-03,포레스트릿_아메리카노(ICE),67,포레스트릿,아메리카노(ICE),1,1,0
2023-01-03,담하_카스,1,담하,카스,1,1,0
2023-01-03,카페테리아_짬뽕밥,28,카페테리아,짬뽕밥,1,1,0
2023-01-03,포레스트릿_페스츄리 소시지,60,포레스트릿,페스츄리 소시지,1,1,0
2023-01-03,느티나무 셀프BBQ_허브솔트,0,느티나무 셀프BBQ,허브솔트,1,1,0
2023-01-03,포레스트릿_아메리카노(HOT),104,포레스트릿,아메리카노(HOT),1,1,0
2023-01-03,담하_은이버섯 갈비탕,15,담하,은이버섯 갈비탕,1,1,0
2023-01-03,미라시아_스텔라(무제한),0,미라시아,스텔라(무제한),1,1,0
2023-01-03,느티나무 셀프BBQ_친환경 접시 23cm,0,느티나무 셀프BBQ,친환경 접시 23cm,1,1,0
2023-01-03,담하_(단체) 황태해장국 3/27까지,0,담하,(단체) 황태해장국 3/27까지,1,1,0
2023-01-03,담하_룸 이용료,2,담하,룸 이용료,1,1,0
2023-01-03,담하_테라,8,담하,테라,1,1,0
2023-01-03,카페테리아_카페라떼(ICE),15,카페테리아,카페라떼(ICE),1,1,0
